created_at,text
2018-11-06 18:35:08,Who are the largest #democracyfunders? What are their #funding strategies? Explore the answers here: https://t.co/wZm1ohkw9m #Midterms2018 https://t.co/R82UQQpVTI
2018-11-06 16:05:08,DYK less than ¼ of #democracy funding goes toward policy &amp; advocacy work? See how #philanthropy is supporting democracy efforts w/ our new data dashboard tools: https://t.co/wZm1ohkw9m #Midterms2018 https://t.co/OLDbGdCHf7
2018-11-06 13:30:23,It's #ElectionDay in the US! Are you making your voice heard? We hope so! Share why you're voting and we'll RT. #democracy #Midterms2018 https://t.co/MrqJfVEOvs
2018-11-05 23:45:04,WEBINAR WEDNESDAY 11/7! Join us at 1pm ET to learn more about openly sharing knowledge to accelerate good: https://t.co/QWC9235P77 @NNCGConsultants  @engagerd @IrvineFdn @deaconessfound @kammannhoward @Glasspockets @issuelab #philanthropy #OpenForGood
2018-11-05 20:30:20,"Heading into the midterm elections in the US, we've seen heightened interest in the role that #philanthropy plays in democratic societies around the globe. Learn more about how foundations are engaging with #democracy here: https://t.co/6vUyVsj5qj #Midterms2018 https://t.co/7ZbEd5IOjN"
2018-11-05 19:15:12,Searching for grants? Check out the latest #RFP list on PND https://t.co/ImT39Ud7Uz #nonprofit
2018-11-05 18:05:06,US tweeps - are you voting tomorrow? We hope so! Learn more about where your polling place is and who's on your ballot here: https://t.co/bvwBoRmfbx. Share why you're voting and we'll RT! @votedotorg #Midterms2018 #ElectionDay https://t.co/OsM0iCc4U8
2018-11-05 17:15:11,"Find out how your #nonprofit board can do more for your organization! In our 11/8 webinar, @BDP503 will discuss strategies to get your board more involved in organization functions! https://t.co/cGw6bXsEt3 #FCLearn @GrantSpace @Govmattersusa @SupportCenterNY @SC_Partnerships https://t.co/8l0Qt6tnNx"
2018-11-05 15:25:05,"DYK the term ""fake news"" appeared in our grants database as far back as 2006 but in 2017 the term began appearing in grant descriptions on a regular basis? Learn more about #foundation support for media &amp; #USDemocracy here: https://t.co/6vUyVsj5qj @pndblog #Midterms2018 https://t.co/lKZPNUEd9y"
2018-11-05 15:12:57,US tweeps - tomorrow is #ElectionDay! Make a plan to vote and make your voice heard. Share why you're voting and we'll RT! #Midterms2018 https://t.co/QmVqABpmII
2018-11-05 13:55:10,Inspiration for your week! #MondayMotivation https://t.co/i9Zu85CCsR
2018-11-04 20:10:04,Learn whether the #access or #training Funding Information Network tier is right for your organization during our FREE #FINfo session on November 13th - register today! https://t.co/6R2XgauZgE #FCFIN https://t.co/wY7O85X06U
2018-11-04 15:40:05,Job hunting? Check out the listings on PND's job board! https://t.co/QnYAeOL491 #nonprofit #foundation #jobs
2018-11-03 19:00:43,Saturday Read: 5 collaboration practices learned from @CARE and @Cargill's 50+ year partnership via @SSIReview https://t.co/u9wWQlE6Vg #SDGs
2018-11-03 14:00:43,Wyss Foundation Commits $1 Billion for Land and Ocean #Conservation https://t.co/dPo8qlKMnt @pndblog #climatechange https://t.co/eD5Nr2of5S
2018-11-02 21:30:11,"WEBINAR: Learn steps and strategies you need to truly succeed at cause marketing! @GoCatalist's @Maureen_Carlson will inform you how to pitch to new corporate cause marketing targets and more. Register today, and earn 1.5 CFRE pts! https://t.co/xSwXHDEjXj #FCLearn @GrantSpace https://t.co/3gCxSdOlTx"
2018-11-02 19:05:07,Think a career in #nonprofit management is for you? Learn the 5 steps to overcoming the number one fear in starting a consulting biz. https://t.co/W6y93s77oz https://t.co/LRfSKUHNMb
2018-11-02 17:30:20,Did you know you can rent meeting space at our downtown New York offices? We'd love to host you! https://t.co/sc7Js2hTGb https://t.co/tn5AlfN1wY
2018-11-02 15:05:10,"DYK #philanthropy contributed $410B to charitable causes in the U.S. in 2017, an amount roughly equivalent to 2% of GDP? Learn more about current trends and emerging issues in philanthropy in our new @pndblog series: https://t.co/2o9I84V84B https://t.co/c2UIhdn6lT"
2018-11-01 19:15:14,"Take your #nonprofit's board to the next level! Get tips and tricks to engage your board in decision-making! Register for our 11/8 webinar, plus earn 1.5 CFRE points: https://t.co/cGw6bXsEt3 #FCLearn @GrantSpace @BDP503 @SupportCenterNY @SC_Partnerships https://t.co/udvofv3cVd"
2018-11-01 17:05:11,"#TBT to the second episode of #NonprofitRadioMonth 2018 with @TonyMartignetti, @BklynFoundation's @kaberibanerjee, and Foundation Center's @DavidRosado84! https://t.co/krDNqIctdg"
2018-11-01 16:35:05,What's new at Foundation Center? Lots! Check out all of our new resources and exciting upcoming events here: https://t.co/lEYXtqwfN4 #philanthropy #nonprofits https://t.co/XB32xIs61Z
2018-11-01 15:10:05,"DYK #philanthropy contributed $410B to charitable causes in the U.S. in 2017, an amount roughly equivalent to 2% of GDP? Learn more about current trends and emerging issues in philanthropy in our new @pndblog series: https://t.co/2o9I84V84B https://t.co/i2AhJQGNB6"
